	"HPCC RA"		"Compiler options"		"N_U"
	"Using GASNet 1.10.0"		"--fast"		"(2^19)*numLocales"
					
"NL"	"TPL"	"Trial 1"	"Trial 2"	"Trial 3"	
1	1	0.000236188	0.000236242	0.000238488	
1	2	0.0000595861	0.0000595763	0.0000587241	
1	3	0.0000479229	0.0000468328	0.0000483959	
1	4	0.0000496315	0.0000521478	0.0000522912	
1	5	0.0000481682	0.0000496869	0.000048943	
1	6	0.0000488052	0.0000491897	0.0000485437	
2	1	0.0000468614	0.0000497293	0.0000444551	
2	2	0.0000620408	0.0000530282	0.0000645603	
2	3	0.0000638499	0.0000670566	0.0000698852	
2	4	0.0000655074	0.0000665971	0.0000659196	
2	5	0.0000668252	0.0000668185	0.0000673001	
2	6	0.0000680542	0.0000680305	0.0000691732	
4	1	0.0000549107	0.0000582675	0.0000520676	
4	2	0.0000782753	0.000078274	0.0000780293	
4	3	0.0000898548	0.0000889494	0.0000892479	
4	4	0.0000941579	0.000094697	0.0000949792	
4	5	0.0000979457	0.0000975077	0.0000985025	
4	6	0.000102436	0.000101699	0.000101213	
8	1	0.0000925586	0.0000911487	0.0000937601	
8	2	0.000131591	0.000135047	0.000135065	
8	3	0.000155016	0.000154338	0.000151885	
8	4	0.000164678	0.000165464	0.000164725	
8	5	0.000171462	0.000171807	0.000172346	
8	6	0.000179005	0.000178508	0.000177075	
16	1	0.000169697	0.000169987	0.000167735	
16	2	0.000248119	0.000244293	0.00024687	
16	3	0.000280661	0.000280394	0.000279102	
16	4	0.000303165	0.000301897	0.000301517	
16	5	0.000315308	0.00031553	0.00031865	
16	6	0.000328895	0.000328806	0.000329599	
32	1	0.000324813	0.000334186	0.000330932	
32	2	0.000468699	0.000475273	0.000482758	
32	3	0.000530613	0.000533507	0.000533312	
32	4	0.00058188	0.000578858	0.00058172	
32	5	0.000604805	0.000602908	0.00060265	
32	6	0.00061979	0.000616937	0.000619138	
64	1	0.000624103	0.000625662	0.000627338	
64	2	0.000885768	0.000925456	0.00094548	
64	3	0.00101804	0.00102488	0.00100889	
64	4	0.00109607	0.00108109	0.00107586	
64	5	0.00110797	0.000907697	0.00101174	
64	6	0.00102495	0.00112292	0.00112979	
128	1	0.00127123	0.00127011	0.00126604	
128	2	0.00176287	0.00178506	0.00176467	
128	3	0.00191817	"M"	0.00189405	
128	4	0.00197957	0.00197857	0.00197372	
128	5	0.00197841	0.00195729	0.00197738	
128	6	0.00195272	0.00189364	0.00194784	
256	1	0.00242156	0.0024203	0.00242317	
256	2	0.00317599	0.00318579	0.00317674	
256	3	0.00332202	"M"	0.00330824	
256	4	0.00310345	0.0031698	"M"	
256	5	"M"	0.00300212	0.00300685	
256	6	0.00278423	0.00283325	0.00271317	
512	1	0.00426339	0.00438064	0.00434817	
512	2	0.00525042	"MIDNIGHT"	0.00512237	
512	3	"M"	0.00487115	0.00482812	
512	4	0.00422326	0.00434053	0.00437223	
512	5	"M"	0.00388934	0.00394872	
512	6	0.00365332	"MEM"	0.00347099	
1024	1	"MEM"	"MEM"	"MEM"	
1024	2	"MEM"	"MEM"	"MEM"	
1024	3	0.0063475	"NA"	"NA"	
1024	4	"NA"	"NA"	"NA"	
1024	5	"NA"	"NA"	"NA"	
1024	6	"NA"	"NA"	"NA"	
					
"Error types:"	"M - PTL_ME_INUSE (3)"				
	"NA - job hasn't made it through the queue yet"				
	"MEM - ra.chpl:81: out of memory allocating ""_data"""				
