# Date	Problem size =	Total memory required (GB) =	Performance (GUPS) =	Execution time =	Validation:
03/13/07 	16777216	0.125	0.00372908	17.9961	SUCCESS
03/14/07 	16777216	0.125	0.00372004	18.0398	SUCCESS
03/15/07 	16777216	0.125	0.00372889	17.997	SUCCESS
03/16/07 	16777216	0.125	0.00366029	18.3343	SUCCESS
03/17/07 	16777216	0.125	0.0036913	18.1803	SUCCESS
03/18/07 	16777216	0.125	0.00367399	18.2659	SUCCESS
03/19/07 	16777216	0.125	0.00370237	18.1259	SUCCESS
03/20/07 	16777216	0.125	0.00370524	18.1119	SUCCESS
03/21/07 	16777216	0.125	0.00369676	18.1534	SUCCESS
03/22/07 	16777216	0.125	0.00367776	18.2472	SUCCESS
03/23/07 	16777216	0.125	0.00359921	18.6454	SUCCESS
03/24/07 	16777216	0.125	0.00355915	18.8553	SUCCESS
03/25/07 	16777216	0.125	0.00357044	18.7957	SUCCESS
03/26/07 	16777216	0.125	0.00360431	18.619	SUCCESS
03/27/07 	16777216	0.125	0.00425702	15.7643	SUCCESS
03/28/07 	16777216	0.125	0.00426747	15.7257	SUCCESS
03/29/07 	16777216	0.125	0.00425693	15.7646	SUCCESS
03/30/07 	16777216	0.125	0.00384379	15.674	SUCCESS
03/31/07        -               -       -               -       -
04/01/07        -               -       -               -       -
04/02/07        -               -       -               -       -
04/03/07 	16777216	0.125	0.00434583	15.4421	SUCCESS
04/04/07 	16777216	0.125	0.00562634	11.9276	SUCCESS
04/05/07 	16777216	0.125	0.0056501	11.8775	SUCCESS
04/06/07 	16777216	0.125	0.00539048	12.4495	SUCCESS
04/07/07 	16777216	0.125	0.00563797	11.903	SUCCESS
04/08/07 	16777216	0.125	0.00560999	11.9624	SUCCESS
04/09/07 	16777216	0.125	0.00549251	12.2183	SUCCESS
04/10/07 	16777216	0.125	0.00566003	11.8566	SUCCESS
04/11/07 	16777216	0.125	0.00564917	11.8794	SUCCESS
04/12/07 	16777216	0.125	0.00562274	11.9353	SUCCESS
04/13/07 	16777216	0.125	0.00563507	11.9091	SUCCESS
04/14/07 	16777216	0.125	0.00405095	16.5662	SUCCESS
04/15/07 	16777216	0.125	0.00406906	16.4925	SUCCESS
04/16/07 	16777216	0.125	0.00404991	16.5705	SUCCESS
04/17/07 	16777216	0.125	0.00303697	22.0973	SUCCESS
04/18/07 	16777216	0.125	0.00305796	21.9456	SUCCESS
04/19/07 	16777216	0.125	0.00622083	10.7878	SUCCESS
04/20/07 	16777216	0.125	0.00613792	10.9335	SUCCESS
04/21/07 	16777216	0.125	0.00623475	10.7637	SUCCESS
04/22/07 	16777216	0.125	0.00613138	10.9451	SUCCESS
04/23/07 	16777216	0.125	0.00615258	10.9074	SUCCESS
04/24/07 	16777216	0.125	0.00622469	10.7811	SUCCESS
04/25/07 	16777216	0.125	0.00678088	9.89677	SUCCESS
04/26/07 	16777216	0.125	0.00685253	9.7933	SUCCESS
04/27/07 	16777216	0.125	0.00677641	9.90331	SUCCESS
04/28/07 	16777216	0.125	0.0068483	9.79935	SUCCESS
04/29/07 	16777216	0.125	0.00672816	9.97432	SUCCESS
04/30/07 	16777216	0.125	0.00683296	9.82135	SUCCESS
05/01/07 	16777216	0.125	0.0068527	9.79305	SUCCESS
05/02/07 	16777216	0.125	0.00686369	9.77738	SUCCESS
05/03/07 	16777216	0.125	0.00673794	9.95984	SUCCESS
05/04/07 	16777216	0.125	0.00679663	9.87384	SUCCESS
05/05/07 	16777216	0.125	0.00687028	9.768	SUCCESS
05/06/07 	16777216	0.125	0.00692362	9.69275	SUCCESS
05/07/07 	16777216	0.125	0.00682	9.84001	SUCCESS
05/08/07 	16777216	0.125	0.0068068	9.8591	SUCCESS
05/09/07 	16777216	0.125	0.00666273	10.0723	SUCCESS
05/10/07 	16777216	0.125	0.00684042	9.81063	SUCCESS
05/11/07 	16777216	0.125	0.00685093	9.79559	SUCCESS
05/12/07 	16777216	0.125	0.00677297	9.90833	SUCCESS
05/13/07 	16777216	0.125	0.00681709	9.8442	SUCCESS
05/14/07 	16777216	0.125	0.00687514	9.76109	SUCCESS
05/15/07 	16777216	0.125	0.0068827	9.75037	SUCCESS
05/16/07 	16777216	0.125	0.00692411	9.69205	SUCCESS
05/17/07 	16777216	0.125	0.00683676	9.81589	SUCCESS
05/18/07 	16777216	0.125	0.00690132	9.72407	SUCCESS
05/19/07 	16777216	0.125	0.00686247	9.77911	SUCCESS
05/20/07 	16777216	0.125	0.00692892	9.68533	SUCCESS
05/21/07 	16777216	0.125	0.00690379	9.72058	SUCCESS
05/22/07 	16777216	0.125	0.00683616	9.81675	SUCCESS
05/23/07 	16777216	0.125	0.006832	9.82272	SUCCESS
05/24/07 	16777216	0.125	0.0068857	9.74612	SUCCESS
05/25/07 	16777216	0.125	0.0068566	9.78749	SUCCESS
05/26/07 	16777216	0.125	0.00682708	9.82981	SUCCESS
05/27/07 	16777216	0.125	0.00685644	9.78771	SUCCESS
05/28/07 	16777216	0.125	0.00681847	9.84222	SUCCESS
05/29/07 	16777216	0.125	0.00693107	9.68232	SUCCESS
05/30/07 	16777216	0.125	0.00688942	9.74085	SUCCESS
05/31/07 	16777216	0.125	0.00683785	9.81432	SUCCESS
