# Date	Problem size =	Total memory required (GB) =	Performance (GB/s) =	min =	avg =	tot =	trials =	Validation:
04/03/07 	5503189	0.123006	0.372368	0.354694	0.401541	4.01541	10	SUCCESS
04/04/07 	5503189	0.123006	0.37944	0.348083	0.365404	3.65404	10	SUCCESS
04/05/07 	5503189	0.123006	0.379162	0.348338	0.361497	3.61497	10	SUCCESS
04/06/07 	5503189	0.123006	0.375298	0.351924	0.396728	3.96728	10	SUCCESS
04/07/07 	5503189	0.123006	0.368757	0.358167	0.371529	3.71529	10	SUCCESS
04/08/07 	5503189	0.123006	0.374783	0.352408	0.373814	3.73814	10	SUCCESS
04/09/07 	5503189	0.123006	0.368011	0.358893	0.375904	3.75904	10	SUCCESS
04/10/07 	5503189	0.123006	0.356773	0.370198	0.395904	3.95904	10	SUCCESS
04/11/07 	5503189	0.123006	0.383302	0.344576	0.3652	3.652	10	SUCCESS
04/12/07 	5503189	0.123006	0.378924	0.348557	0.366394	3.66394	10	SUCCESS
04/13/07 	5503189	0.123006	0.385945	0.342216	0.364807	3.64807	10	SUCCESS
04/14/07 	5503189	0.123006	0.270119	0.488957	0.537451	5.37451	10	SUCCESS
04/15/07 	5503189	0.123006	0.282681	0.467228	0.51457	5.1457	10	SUCCESS
04/16/07 	5503189	0.123006	0.270868	0.487604	0.525453	5.25453	10	SUCCESS
04/17/07 	5503189	0.123006	0.0829071	1.59307	2.01739	20.1739	10	SUCCESS
04/18/07 	5503189	0.123006	0.0848142	1.55725	1.84214	18.4214	10	SUCCESS
04/19/07 	5503189	0.123006	0.111163	1.18814	1.35327	13.5327	10	SUCCESS
04/20/07 	5503189	0.123006	0.100186	1.31831	1.50227	15.0227	10	SUCCESS
04/21/07 	5503189	0.123006	0.101625	1.29964	1.4539	14.539	10	SUCCESS
04/22/07 	5503189	0.123006	0.101617	1.29975	1.45529	14.5529	10	SUCCESS
04/23/07 	5503189	0.123006	0.101596	1.30002	1.45229	14.5229	10	SUCCESS
04/24/07 	5503189	0.123006	0.0978035	1.35043	1.5876	15.876	10	SUCCESS
04/25/07 	5503189	0.123006	0.152894	0.863846	0.955031	9.55031	10	SUCCESS
04/26/07 	5503189	0.123006	0.143605	0.919718	1.10513	11.0513	10	SUCCESS
04/27/07 	5503189	0.123006	0.143242	0.922049	1.11179	11.1179	10	SUCCESS
04/28/07 	5503189	0.123006	0.510031	0.258958	0.293239	2.93239	10	SUCCESS
04/29/07 	5503189	0.123006	0.508225	0.259878	0.285041	2.85041	10	SUCCESS
04/30/07 	5503189	0.123006	0.508742	0.259614	0.283521	2.83521	10	SUCCESS
05/01/07 	5503189	0.123006	0.966433	0.136664	0.16678	1.6678	10	SUCCESS
05/02/07 	5503189	0.123006	1.60961	0.082055	0.0824243	0.824243	10	SUCCESS
05/03/07 	5503189	0.123006	1.59092	0.083019	0.0834188	0.834188	10	SUCCESS
05/04/07 	5503189	0.123006	1.59224	0.08295	0.0833588	0.833588	10	SUCCESS
05/05/07 	5503189	0.123006	1.57594	0.083808	0.0841062	0.841062	10	SUCCESS
05/06/07 	5503189	0.123006	1.62019	0.081519	0.081947	0.81947	10	SUCCESS
05/07/07 	5503189	0.123006	1.57813	0.083692	0.0841484	0.841484	10	SUCCESS
05/08/07 	5503189	0.123006	1.5759	0.08381	0.0845629	0.845629	10	SUCCESS
05/09/07 	5503189	0.123006	1.88926	0.069909	0.0701521	0.701521	10	SUCCESS
05/10/07 	5503189	0.123006	1.90208	0.069438	0.069617	0.69617	10	SUCCESS
05/11/07 	5503189	0.123006	1.90005	0.069512	0.0698294	0.698294	10	SUCCESS
05/12/07 	5503189	0.123006	1.8824	0.070164	0.0705511	0.705511	10	SUCCESS
05/13/07 	5503189	0.123006	1.87681	0.070373	0.0705677	0.705677	10	SUCCESS
05/14/07 	5503189	0.123006	1.87553	0.070421	0.0707782	0.707782	10	SUCCESS
05/15/07 	5503189	0.123006	1.89937	0.069537	0.0699	0.699	10	SUCCESS
05/16/07 	5503189	0.123006	1.86441	0.070841	0.0714292	0.714292	10	SUCCESS
05/17/07 	5503189	0.123006	1.86047	0.070991	0.0713785	0.713785	10	SUCCESS
05/18/07 	5503189	0.123006	1.8627	0.070906	0.0712306	0.712306	10	SUCCESS
05/19/07 	5503189	0.123006	1.86383	0.070863	0.0711421	0.711421	10	SUCCESS
05/20/07 	5503189	0.123006	1.86538	0.070804	0.0714027	0.714027	10	SUCCESS
05/21/07 	5503189	0.123006	1.87059	0.070607	0.0713907	0.713907	10	SUCCESS
05/22/07 	5503189	0.123006	1.85981	0.071016	0.0712029	0.712029	10	SUCCESS
05/23/07 	5503189	0.123006	1.85631	0.07115	0.0715702	0.715702	10	SUCCESS
05/24/07 	5503189	0.123006	1.85608	0.071159	0.0714178	0.714178	10	SUCCESS
05/25/07 	5503189	0.123006	1.84169	0.071715	0.0719722	0.719722	10	SUCCESS
05/26/07 	5503189	0.123006	1.84733	0.071496	0.0719842	0.719842	10	SUCCESS
05/27/07 	5503189	0.123006	1.85233	0.071303	0.0716106	0.716106	10	SUCCESS
05/28/07 	5503189	0.123006	1.85605	0.07116	0.071951	0.71951	10	SUCCESS
05/29/07 	5503189	0.123006	1.87011	0.070625	0.071167	0.71167	10	SUCCESS
05/30/07 	5503189	0.123006	1.85597	0.071163	0.0714497	0.714497	10	SUCCESS
05/31/07 	5503189	0.123006	1.88463	0.070081	0.0707359	0.707359	10	SUCCESS
